solution,lut,bram,ff,dsp,clb,latch,target_clk,achieved_clk,wns,tns,cycles,estimated_time
solution1,17550,4,8063,180,3153,0,8.0,7.652,0.348,0.0,9600,73459.2
solution3,17208,2,7821,180,3172,0,8.0,7.15,0.85,0.0,9886,70684.90000000001
solution4,4771,6,3097,40,922,0,8.0,6.612,1.388,0.0,8039,53153.868
solution5,274,0,737,0,75,0,8.0,2.347,5.653,0.0,3635,8531.345
solution6,19305,6,6666,160,3330,0,8.0,6.648,1.352,0.0,11480,76319.04
solution7,3869,6,3489,46,797,0,8.0,7.599,0.401,0.0,4454,33845.946
solution8,4557,8,2811,54,873,0,8.0,7.229,0.771,0.0,3683,26624.407
solution9,18278,0,8383,182,3333,0,8.0,7.23,0.77,0.0,10528,76117.44
solution10,3120,14,1756,34,566,0,8.0,6.081,1.919,0.0,3464,21064.584000000003
solution12,5955,6,2792,37,1029,0,8.0,6.377,1.623,0.0,3841,24494.057
solution18,7977,0,5088,116,1591,0,8.0,6.561,1.439,0.0,11274,73968.71399999999
solution19,3242,2,1998,34,587,0,8.0,5.64,2.36,0.0,4767,26885.879999999997
solution20,3760,2,2583,55,717,0,8.0,6.949,1.051,0.0,5004,34772.796
solution21,4281,2,2759,72,807,0,8.0,7.416,0.584,0.0,5075,37636.200000000004
solution23,3745,7,1788,72,679,0,8.0,6.625,1.375,0.0,6451,42737.875
solution25,4298,0,3116,47,825,0,8.0,6.446,1.554,0.0,7877,50775.142
solution27,3980,2,2880,65,809,0,8.0,5.806,2.194,0.0,6182,35892.692
solution29,20151,0,8983,195,3545,0,8.0,7.043,0.957,0.0,12607,88791.101
solution31,7176,6,2984,27,1208,0,8.0,6.103,1.897,0.0,4531,27652.693
solution32,6604,4,3444,46,1177,0,8.0,7.519,0.481,0.0,2941,22113.379
solution33,4058,8,1860,72,718,0,8.0,6.522,1.478,0.0,3214,20961.708000000002
solution37,4343,2,2600,57,808,0,8.0,7.339,0.661,0.0,4829,35440.031
solution38,4061,7,2125,72,755,0,8.0,6.29,1.71,0.0,2928,18417.12
solution39,3780,4,2009,56,665,0,8.0,7.045,0.955,0.0,3214,22642.63
solution41,7611,0,2807,76,1304,0,8.0,6.228,1.772,0.0,4562,28412.136
solution45,4353,0,2981,48,857,0,8.0,6.235,1.765,0.0,4530,28244.550000000003
solution46,3928,2,2093,57,714,0,8.0,5.937,2.063,0.0,5449,32350.713
solution47,3527,3,2320,38,685,0,8.0,6.539,1.461,0.0,5229,34192.431
solution49,4680,6,2649,72,856,0,8.0,6.284,1.716,0.0,3128,19656.352
solution52,4379,2,3008,58,855,0,8.0,6.674,1.326,0.0,4716,31474.584000000003
solution54,5041,0,3554,108,933,0,8.0,6.956,1.044,0.0,4677,32533.212000000003
solution55,4834,1,3425,104,939,0,8.0,7.205,0.795,0.0,4721,34014.805
solution58,7715,2,3739,26,1375,0,8.0,6.086,1.914,0.0,8878,54031.508
solution61,6708,4,4504,124,1365,0,8.0,7.504,0.496,0.0,10121,75947.984
solution62,6191,4,3630,58,1174,0,8.0,7.158,0.842,0.0,4512,32296.896
solution63,4816,8,2859,42,891,0,8.0,6.579,1.421,0.0,4118,27092.322
solution66,3090,10,1865,30,566,0,8.0,6.1,1.9,0.0,3991,24345.1
solution67,227,0,701,0,73,0,8.0,2.133,5.867,0.0,2839,6055.587
solution69,3190,1,1743,57,593,0,8.0,6.906,1.094,0.0,2889,19951.433999999997
solution70,5054,0,3646,65,990,0,8.0,6.122,1.878,0.0,5378,32924.116
solution71,18245,2,8216,168,3278,0,8.0,6.818,1.182,0.0,11786,80356.94799999999
solution72,3113,4,2548,46,603,0,8.0,7.644,0.356,0.0,4394,33587.736
solution73,17412,6,7476,171,3139,0,8.0,7.083,0.917,0.0,10694,75745.602
solution78,4195,0,2540,54,790,0,8.0,6.128,1.872,0.0,5198,31853.344
solution79,237,0,768,0,75,0,8.0,1.829,6.171,0.0,2818,5154.122
solution80,6890,2,4252,131,1373,0,8.0,6.869,1.131,0.0,9918,68126.742
solution83,3282,6,1949,41,602,0,8.0,6.386,1.614,0.0,3619,23110.934
solution87,3216,5,2388,47,617,0,8.0,7.643,0.357,0.0,3820,29196.26
solution88,4200,6,2504,81,796,0,8.0,6.109,1.891,0.0,4750,29017.75
solution89,8005,2,3687,53,1446,0,8.0,5.722,2.278,0.0,3956,22636.232
solution91,8593,0,5551,136,1690,0,8.0,6.4,1.6,0.0,12750,81600.0
solution92,18761,0,8518,181,3418,0,8.0,6.958,1.042,0.0,10209,71034.22200000001
solution93,18935,0,8692,170,3489,0,8.0,7.056,0.944,0.0,11085,78215.76
solution94,18964,0,8495,205,3458,0,8.0,7.133,0.867,0.0,10931,77970.823
solution96,7885,0,4024,42,1423,0,8.0,5.981,2.019,0.0,4133,24719.472999999998
solution98,17753,4,8197,190,3347,0,8.0,7.622,0.378,0.0,9977,76044.694
solution100,5182,1,3002,88,953,0,8.0,6.092,1.908,0.0,2335,14224.82
solution101,6297,14,2976,79,1180,0,8.0,5.976,2.024,0.0,4891,29228.615999999998
solution104,6182,2,2937,36,1061,0,8.0,6.385,1.615,0.0,2782,17763.07
solution106,5936,2,3033,33,1063,0,8.0,6.763,1.237,0.0,7717,52190.070999999996
solution108,7091,6,4063,121,1377,0,8.0,6.251,1.749,0.0,13827,86432.577
solution113,12050,2,7046,125,2236,0,8.0,6.348,1.652,0.0,12278,77940.74399999999
solution115,8558,0,3808,69,1497,0,8.0,7.198,0.802,0.0,5183,37307.234000000004
solution116,5127,8,3604,81,1044,0,8.0,6.846,1.154,0.0,4828,33052.488
solution117,18195,0,8149,169,3311,0,8.0,6.966,1.034,0.0,11474,79927.884
solution118,18413,6,7893,172,3262,0,8.0,6.805,1.195,0.0,12613,85831.465
solution123,5802,0,2945,61,1221,0,8.0,6.116,1.884,0.0,5588,34176.208
solution124,6015,2,2736,52,1055,0,8.0,6.677,1.323,0.0,3145,20999.164999999997
solution128,6884,6,4359,123,1322,0,8.0,5.906,2.094,0.0,14766,87207.996
solution131,3047,5,2526,46,606,0,8.0,7.575,0.425,0.0,4495,34049.625
solution133,4274,7,1853,72,773,0,8.0,6.461,1.539,0.0,2942,19008.262000000002
solution134,10184,0,4043,134,1821,0,8.0,7.048,0.952,0.0,10379,73151.192
solution136,4130,10,2734,45,802,0,8.0,6.132,1.868,0.0,5354,32830.727999999996
solution137,4041,1,2655,54,798,0,8.0,6.359,1.641,0.0,6097,38770.823
solution138,8328,0,4839,134,1694,0,8.0,7.371,0.629,0.0,10199,75176.829
solution139,228,0,731,0,80,0,8.0,1.688,6.312,0.0,2631,4441.128
solution140,8409,0,3920,39,1455,0,8.0,6.112,1.888,0.0,5140,31415.68
solution142,8743,6,3405,111,1526,0,8.0,6.629,1.371,0.0,10461,69345.969
solution144,3924,6,2638,46,789,0,8.0,6.582,1.418,0.0,5126,33739.332
solution146,5004,8,3626,59,970,0,8.0,6.434,1.566,0.0,8818,56735.012
solution147,6247,0,3934,34,1298,0,8.0,6.377,1.623,0.0,4468,28492.435999999998
solution148,3388,6,2259,51,654,0,8.0,5.876,2.124,0.0,6816,40050.816
solution158,7000,2,3766,50,1267,0,8.0,6.332,1.668,0.0,6544,41436.608
solution162,4652,8,2881,53,887,0,8.0,6.836,1.164,0.0,4194,28670.184
solution164,16558,6,7495,167,2971,0,8.0,7.197,0.803,0.0,10171,73200.687
solution165,20271,0,6654,212,3503,0,8.0,6.927,1.073,0.0,9644,66803.988
solution167,263,0,731,0,81,0,8.0,2.086,5.914,0.0,2986,6228.795999999999
solution175,17074,4,8110,178,3171,0,8.0,7.507,0.493,0.0,10077,75648.03899999999
solution176,248,0,690,0,64,0,8.0,1.833,6.167,0.0,3120,5718.96
solution177,4358,0,3055,69,826,0,8.0,6.436,1.564,0.0,4631,29805.115999999998
solution178,5223,0,3802,53,1051,0,8.0,6.762,1.238,0.0,8325,56293.649999999994
solution182,18390,2,8316,166,3350,0,8.0,6.573,1.427,0.0,12518,82280.814
solution185,3445,2,2235,64,651,0,8.0,6.63,1.37,0.0,3679,24391.77
solution187,18187,0,8066,183,3330,0,8.0,7.177,0.823,0.0,11464,82277.128
solution189,20038,2,8599,214,3626,0,8.0,7.508,0.492,0.0,10914,81942.312
solution190,18133,0,8197,178,3319,0,8.0,7.197,0.803,0.0,10647,76626.459
solution191,19975,2,7175,177,3470,0,8.0,7.124,0.876,0.0,11670,83137.08
solution192,5280,2,3156,46,1050,0,8.0,6.468,1.532,0.0,9129,59046.372
solution193,2788,3,1881,37,537,0,8.0,5.688,2.312,0.0,7624,43365.312
solution194,10609,6,6151,120,1991,0,8.0,6.226,1.774,0.0,10070,62695.82
solution195,18689,0,8573,176,3424,0,8.0,7.287,0.713,0.0,11267,82102.629
solution197,3615,3,2285,30,716,0,8.0,5.693,2.307,0.0,6018,34260.473999999995
solution199,5886,6,2471,30,1005,0,8.0,6.192,1.808,0.0,2881,17839.152000000002
