solution,lut,bram,ff,dsp,clb,latch,target_clk,achieved_clk,wns,tns,cycles,estimated_time
solution1,541,0,580,0,137,0,8.0,2.431,5.569,0.0,1732,4210.492
solution3,820,0,1001,0,173,0,8.0,1.439,6.561,0.0,1356,1951.284
solution6,851,0,982,0,169,0,8.0,1.528,6.472,0.0,1354,2068.912
solution11,213,0,311,0,56,0,8.0,1.485,6.515,0.0,1929,2864.565
solution12,467,0,585,0,118,0,8.0,1.601,6.399,0.0,1506,2411.1059999999998
solution13,274,0,398,0,74,0,8.0,1.829,6.171,0.0,6411,11725.719
solution14,488,0,569,0,113,0,8.0,1.448,6.552,0.0,1656,2397.888
solution15,271,0,370,0,75,0,8.0,2.232,5.768,0.0,3954,8825.328000000001
solution16,201,0,270,0,43,0,8.0,1.787,6.213,0.0,1361,2432.107
solution18,680,0,937,0,183,0,8.0,1.74,6.26,0.0,1205,2096.7
solution19,205,0,191,0,51,0,8.0,2.423,5.577,0.0,739,1790.597
solution20,963,0,1165,0,227,0,8.0,1.871,6.129,0.0,1633,3055.343
solution26,862,0,995,0,178,0,8.0,1.805,6.195,0.0,1401,2528.805
solution29,212,0,208,0,49,0,8.0,1.809,6.191,0.0,1742,3151.278
solution32,513,0,597,0,135,0,8.0,1.868,6.132,0.0,1872,3496.896
solution35,237,0,282,0,51,0,8.0,1.692,6.308,0.0,2096,3546.432
solution36,408,0,600,0,109,0,8.0,1.588,6.412,0.0,1717,2726.596
solution37,837,0,1120,0,253,0,8.0,1.668,6.332,0.0,1585,2643.7799999999997
solution41,209,0,257,0,58,0,8.0,1.923,6.077,0.0,1469,2824.887
solution42,486,0,560,0,123,0,8.0,1.255,6.745,0.0,1654,2075.77
solution43,260,0,244,0,59,0,8.0,1.883,6.117,0.0,866,1630.678
solution45,540,0,572,0,141,0,8.0,1.741,6.259,0.0,1678,2921.398
solution47,249,0,281,0,59,0,8.0,1.938,6.062,0.0,1519,2943.822
solution52,241,0,371,0,63,0,8.0,1.371,6.629,0.0,3225,4421.475
solution55,240,0,277,0,60,0,8.0,2.179,5.821,0.0,3784,8245.336
solution56,205,0,266,0,56,0,8.0,1.259,6.741,0.0,1903,2395.877
solution58,607,0,863,0,178,0,8.0,1.841,6.159,0.0,1095,2015.895
solution59,237,0,315,0,61,0,8.0,2.461,5.539,0.0,3203,7882.583
solution68,251,0,340,0,60,0,8.0,1.735,6.265,0.0,3852,6683.22
solution73,279,0,302,0,70,0,8.0,1.941,6.059,0.0,2519,4889.379
solution75,903,0,993,0,219,0,8.0,1.822,6.178,0.0,1452,2645.544
solution76,686,0,884,0,163,0,8.0,1.585,6.415,0.0,1075,1703.875
solution78,504,0,627,0,126,0,8.0,2.133,5.867,0.0,1538,3280.554
solution82,231,0,319,0,66,0,8.0,1.863,6.137,0.0,1692,3152.196
solution83,227,0,302,0,62,0,8.0,1.646,6.354,0.0,2000,3292.0
solution85,378,0,564,0,99,0,8.0,1.341,6.659,0.0,1707,2289.087
solution95,229,0,301,0,54,0,8.0,1.817,6.183,0.0,2300,4179.099999999999
solution96,238,0,236,0,52,0,8.0,2.318,5.682,0.0,1226,2841.868
solution99,522,0,647,0,109,0,8.0,1.749,6.251,0.0,1653,2891.097
solution102,854,0,992,0,177,0,8.0,1.583,6.417,0.0,1374,2175.042
solution104,222,0,211,0,54,0,8.0,2.477,5.523,0.0,1724,4270.348
solution106,255,0,315,0,67,0,8.0,1.802,6.198,0.0,3479,6269.158
solution107,217,0,267,0,58,0,8.0,1.807,6.193,0.0,1676,3028.5319999999997
solution111,704,0,993,0,205,0,8.0,1.339,6.661,0.0,1839,2462.421
solution113,248,0,384,0,60,0,8.0,1.747,6.253,0.0,3579,6252.513000000001
solution121,442,0,550,0,104,0,8.0,1.563,6.437,0.0,1410,2203.83
solution122,265,0,406,0,69,0,8.0,1.86,6.14,0.0,4015,7467.900000000001
solution123,484,0,555,0,120,0,8.0,1.744,6.256,0.0,1579,2753.776
solution126,215,0,233,0,56,0,8.0,2.361,5.639,0.0,2223,5248.503000000001
solution129,207,0,226,0,50,0,8.0,1.321,6.679,0.0,2327,3073.967
solution131,979,0,462,0,200,0,8.0,3.439,4.561,0.0,3429,11792.331
solution135,366,0,475,0,102,0,8.0,1.618,6.382,0.0,1211,1959.3980000000001
solution136,201,0,240,0,48,0,8.0,1.851,6.149,0.0,3351,6202.701
solution139,217,0,253,0,61,0,8.0,1.718,6.282,0.0,842,1446.556
solution145,214,0,295,0,55,0,8.0,1.68,6.32,0.0,2387,4010.16
solution148,850,0,989,0,173,0,8.0,1.522,6.478,0.0,1381,2101.882
solution149,627,0,389,0,133,0,8.0,2.795,5.205,0.0,3503,9790.885
solution151,835,0,962,0,201,0,8.0,1.566,6.434,0.0,1282,2007.612
solution154,485,0,549,0,113,0,8.0,1.791,6.209,0.0,1466,2625.6059999999998
solution155,224,0,275,0,56,0,8.0,1.957,6.043,0.0,1588,3107.716
solution156,240,0,255,0,54,0,8.0,1.437,6.563,0.0,1356,1948.5720000000001
solution157,228,0,252,0,58,0,8.0,1.74,6.26,0.0,764,1329.36
solution165,220,0,225,0,47,0,8.0,1.789,6.211,0.0,1711,3060.979
solution167,245,0,294,0,56,0,8.0,1.624,6.376,0.0,1759,2856.616
solution169,502,0,571,0,120,0,8.0,1.645,6.355,0.0,1239,2038.155
solution171,420,0,513,0,130,0,8.0,1.852,6.148,0.0,1441,2668.732
solution172,250,0,258,0,60,0,8.0,2.092,5.908,0.0,1604,3355.568
solution173,501,0,590,0,129,0,8.0,1.424,6.576,0.0,1910,2719.8399999999997
solution176,444,0,615,0,102,0,8.0,1.386,6.614,0.0,1624,2250.864
solution177,201,0,255,0,59,0,8.0,1.725,6.275,0.0,1974,3405.15
solution178,242,0,270,0,52,0,8.0,1.797,6.203,0.0,1816,3263.352
solution183,321,0,392,0,82,0,8.0,1.713,6.287,0.0,3559,6096.567
solution184,643,0,924,0,205,0,8.0,1.675,6.325,0.0,1558,2609.65
solution185,1815,0,786,0,371,0,8.0,3.16,4.84,0.0,3510,11091.6
solution186,357,0,522,0,89,0,8.0,1.738,6.262,0.0,1572,2732.136
solution188,532,0,583,0,130,0,8.0,1.78,6.22,0.0,1748,3111.44
solution191,211,0,261,0,51,0,8.0,1.726,6.274,0.0,1669,2880.694
solution195,205,0,290,0,49,0,8.0,1.512,6.488,0.0,1849,2795.688
solution197,205,0,233,0,52,0,8.0,2.021,5.979,0.0,2071,4185.491
solution199,298,0,303,0,71,0,8.0,1.721,6.279,0.0,937,1612.577
