solution,lut,bram,ff,dsp,clb,latch,target_clk,achieved_clk,wns,tns,cycles,estimated_time
solution2,242,0,599,0,70,0,8.0,2.234,5.766,0.0,13912,31079.408
solution6,252,0,272,0,53,0,8.0,1.971,6.029,0.0,27977,55142.667
solution7,234,0,584,0,65,0,8.0,2.379,5.621,0.0,13912,33096.648
solution14,242,0,599,0,70,0,8.0,2.234,5.766,0.0,13912,31079.408
solution15,296,0,266,0,57,0,8.0,1.409,6.591,0.0,30483,42950.547
solution16,443,0,844,0,128,0,8.0,2.625,5.375,0.0,17986,47213.25
solution18,272,0,512,0,81,0,8.0,2.272,5.728,0.0,17162,38992.064
solution19,403,0,394,0,85,0,8.0,3.057,4.943,0.0,15136,46270.752
solution21,258,0,605,0,73,0,8.0,2.035,5.965,0.0,13944,28376.04
solution24,244,0,585,0,86,0,8.0,2.335,5.665,0.0,14344,33493.24
solution25,231,0,310,0,57,0,8.0,1.37,6.63,0.0,90473,123948.01000000001
solution34,242,0,599,0,70,0,8.0,2.234,5.766,0.0,13912,31079.408
solution35,242,0,599,0,70,0,8.0,2.234,5.766,0.0,13912,31079.408
solution37,443,0,844,0,128,0,8.0,2.625,5.375,0.0,17986,47213.25
solution39,235,0,584,0,69,0,8.0,1.958,6.042,0.0,13912,27239.696
solution41,273,0,356,0,70,0,8.0,1.723,6.277,0.0,62677,107992.471
solution48,242,0,599,0,70,0,8.0,2.234,5.766,0.0,13912,31079.408
solution49,242,0,599,0,70,0,8.0,2.234,5.766,0.0,13912,31079.408
solution51,348,0,456,0,82,0,8.0,1.26,6.74,0.0,17742,22354.920000000002
solution53,233,0,292,0,53,0,8.0,1.436,6.564,0.0,31620,45406.32
solution54,442,0,570,0,104,0,8.0,1.526,6.474,0.0,47386,72311.03600000001
solution55,268,0,512,0,90,0,8.0,2.386,5.614,0.0,17162,40948.532
solution58,235,0,599,0,70,0,8.0,2.075,5.925,0.0,13912,28867.4
solution61,385,0,394,0,84,0,8.0,2.353,5.647,0.0,15136,35615.008
solution62,232,0,281,0,59,0,8.0,1.643,6.357,0.0,36412,59824.916
solution64,238,0,341,0,55,0,8.0,1.577,6.423,0.0,30355,47869.835
solution65,235,0,599,0,70,0,8.0,2.075,5.925,0.0,13912,28867.4
solution70,286,0,506,0,84,0,8.0,1.973,6.027,0.0,18710,36914.83
solution71,410,0,399,0,88,0,8.0,2.9,5.1,0.0,15168,43987.2
solution72,227,0,297,0,58,0,8.0,2.031,5.969,0.0,40593,82444.383
solution74,285,0,506,0,93,0,8.0,2.216,5.784,0.0,18710,41461.36
solution76,242,0,284,0,54,0,8.0,1.834,6.166,0.0,42307,77591.038
solution82,346,0,431,0,78,0,8.0,2.026,5.974,0.0,52956,107288.85599999999
solution83,249,0,270,0,50,0,8.0,1.966,6.034,0.0,31325,61584.95
solution84,443,0,844,0,128,0,8.0,2.625,5.375,0.0,17986,47213.25
solution85,385,0,394,0,84,0,8.0,2.353,5.647,0.0,15136,35615.008
solution93,285,0,384,0,65,0,8.0,1.927,6.073,0.0,15961,30756.847
solution94,238,0,585,0,82,0,8.0,2.181,5.819,0.0,14344,31284.264
solution95,235,0,599,0,70,0,8.0,2.075,5.925,0.0,13912,28867.4
solution97,258,0,605,0,73,0,8.0,2.035,5.965,0.0,13944,28376.04
solution100,370,0,477,0,83,0,8.0,1.344,6.656,0.0,27508,36970.752
solution104,212,0,213,0,50,0,8.0,1.62,6.38,0.0,53292,86333.04000000001
solution105,260,0,268,0,52,0,8.0,1.926,6.074,0.0,28182,54278.532
solution107,235,0,599,0,70,0,8.0,2.075,5.925,0.0,13912,28867.4
solution110,242,0,599,0,70,0,8.0,2.234,5.766,0.0,13912,31079.408
solution112,465,0,838,0,131,0,8.0,2.616,5.384,0.0,19534,51100.944
solution113,284,0,357,0,66,0,8.0,1.287,6.713,0.0,26271,33810.776999999995
solution114,222,0,256,0,50,0,8.0,1.344,6.656,0.0,29876,40153.344000000005
solution116,258,0,605,0,73,0,8.0,2.035,5.965,0.0,13944,28376.04
solution118,244,0,585,0,86,0,8.0,2.335,5.665,0.0,14344,33493.24
solution119,360,0,460,0,90,0,8.0,1.656,6.344,0.0,25489,42209.784
solution122,285,0,295,0,58,0,8.0,2.003,5.997,0.0,18193,36440.579000000005
solution124,226,0,279,0,54,0,8.0,2.204,5.796,0.0,14312,31543.648
solution127,410,0,399,0,88,0,8.0,2.9,5.1,0.0,15168,43987.2
solution128,385,0,394,0,84,0,8.0,2.353,5.647,0.0,15136,35615.008
