solution,lut,bram,ff,dsp,clb,latch,target_clk,achieved_clk,wns,tns,cycles,estimated_time
solution2,72,0,124,0,19,0,8.0,1.196,6.804,0.0,1123,1343.108
solution11,57,0,76,0,14,0,8.0,1.176,6.824,0.0,2013,2367.288
solution13,73,0,98,0,16,0,8.0,1.383,6.617,0.0,2631,3638.6730000000002
solution14,83,0,101,0,19,0,8.0,1.265,6.735,0.0,2100,2656.5
solution15,76,0,111,0,19,0,8.0,1.329,6.671,0.0,2973,3951.1169999999997
solution16,110,0,283,0,36,0,8.0,1.366,6.634,0.0,1564,2136.424
solution17,65,0,86,0,16,0,8.0,1.159,6.841,0.0,1272,1474.248
solution22,179,0,504,0,47,0,8.0,1.799,6.201,0.0,1547,2783.053
solution24,189,0,559,0,61,0,8.0,1.934,6.066,0.0,3066,5929.644
solution26,86,0,201,0,28,0,8.0,1.261,6.739,0.0,1555,1960.8549999999998
solution28,68,0,86,0,17,0,8.0,1.482,6.518,0.0,1460,2163.72
solution30,103,0,238,0,25,0,8.0,1.41,6.59,0.0,1233,1738.53
solution34,147,0,176,0,37,0,8.0,1.603,6.397,0.0,1915,3069.745
solution35,84,0,175,0,24,0,8.0,1.422,6.578,0.0,1496,2127.312
solution36,82,0,165,0,24,0,8.0,1.309,6.691,0.0,1692,2214.828
solution40,134,0,440,0,45,0,8.0,1.367,6.633,0.0,1219,1666.373
solution42,158,0,1611,0,159,0,8.0,1.064,7.018,0.0,3209,3414.376
solution43,93,0,228,0,29,0,8.0,1.18,6.82,0.0,1907,2250.2599999999998
solution44,125,0,184,0,31,0,8.0,1.439,6.561,0.0,1564,2250.596
solution48,62,0,109,0,16,0,8.0,1.334,6.666,0.0,4980,6643.320000000001
solution50,84,0,216,0,24,0,8.0,1.421,6.579,0.0,2208,3137.568
solution51,84,0,162,0,24,0,8.0,1.315,6.685,0.0,2100,2761.5
solution53,200,0,796,0,79,0,8.0,1.491,6.509,0.0,2395,3570.945
solution56,88,0,144,0,25,0,8.0,1.275,6.725,0.0,2120,2703.0
solution57,71,0,100,0,18,0,8.0,1.353,6.647,0.0,1266,1712.898
solution59,146,0,344,0,42,0,8.0,1.262,6.738,0.0,1914,2415.468
solution60,97,0,204,0,25,0,8.0,1.386,6.614,0.0,1224,1696.464
solution64,136,0,221,0,32,0,8.0,1.722,6.278,0.0,1572,2706.984
solution65,80,0,128,0,21,0,8.0,1.266,6.734,0.0,4817,6098.322
solution68,130,0,273,0,34,0,8.0,1.334,6.666,0.0,1386,1848.9240000000002
solution74,129,0,232,0,33,0,8.0,1.455,6.545,0.0,4934,7178.97
solution75,96,0,215,0,31,0,8.0,1.485,6.515,0.0,1389,2062.665
solution76,80,0,116,0,19,0,8.0,1.141,6.859,0.0,4317,4925.697
solution77,114,0,278,0,33,0,8.0,1.386,6.614,0.0,1865,2584.89
solution81,89,0,233,0,27,0,8.0,1.234,6.766,0.0,1474,1818.916
solution82,116,0,246,0,32,0,8.0,1.655,6.345,0.0,5373,8892.315
solution84,124,0,201,0,29,0,8.0,1.055,6.945,0.0,1722,1816.7099999999998
solution85,127,0,179,0,27,0,8.0,1.499,6.501,0.0,4774,7156.226000000001
solution86,104,0,291,0,34,0,8.0,1.234,6.766,0.0,1771,2185.4139999999998
solution90,95,0,176,0,28,0,8.0,1.301,6.699,0.0,1761,2291.0609999999997
solution95,65,0,86,0,16,0,8.0,1.019,6.981,0.0,1278,1302.282
solution97,145,0,510,0,54,0,8.0,1.732,6.268,0.0,2401,4158.532
solution99,96,0,185,0,26,0,8.0,1.709,6.291,0.0,2279,3894.811
solution102,71,0,86,0,18,0,8.0,1.064,6.936,0.0,1281,1362.9840000000002
solution103,69,0,113,0,20,0,8.0,1.221,6.779,0.0,1537,1876.6770000000001
solution105,106,0,684,0,72,0,8.0,1.476,6.524,0.0,2617,3862.692
solution107,110,0,271,0,36,0,8.0,1.287,6.713,0.0,1637,2106.819
solution109,129,0,657,0,71,0,8.0,1.171,6.829,0.0,2928,3428.688
solution110,68,0,80,0,20,0,8.0,1.319,6.681,0.0,1516,1999.6039999999998
solution111,75,0,118,0,18,0,8.0,1.451,6.549,0.0,1686,2446.386
solution112,129,0,870,0,99,0,8.0,1.064,6.942,0.0,3505,3729.32
solution114,82,0,126,0,20,0,8.0,1.408,6.592,0.0,2527,3558.0159999999996
solution119,92,0,179,0,25,0,8.0,1.761,6.239,0.0,2327,4097.847
solution120,116,0,173,0,29,0,8.0,1.211,6.789,0.0,1476,1787.4360000000001
solution121,180,0,527,0,56,0,8.0,1.631,6.369,0.0,2397,3909.507
solution122,74,0,143,0,22,0,8.0,1.378,6.622,0.0,1369,1886.4819999999997
solution125,110,0,262,0,35,0,8.0,1.467,6.533,0.0,2998,4398.066
solution126,129,0,193,0,30,0,8.0,1.303,6.697,0.0,2440,3179.3199999999997
solution127,94,0,187,0,27,0,8.0,1.28,6.72,0.0,1713,2192.64
solution129,160,0,338,0,42,0,8.0,1.384,6.616,0.0,1984,2745.8559999999998
solution130,83,0,153,0,25,0,8.0,1.086,6.914,0.0,1712,1859.2320000000002
solution132,85,0,194,0,27,0,8.0,1.225,6.775,0.0,1347,1650.075
solution135,66,0,92,0,18,0,8.0,1.234,6.766,0.0,1269,1565.946
