solution,lut,bram,ff,dsp,clb,latch,target_clk,achieved_clk,wns,tns,cycles,estimated_time
solution2,192,0,269,0,58,0,8.0,1.706,6.294,0.0,1637,2792.7219999999998
solution4,192,0,232,0,48,0,8.0,1.541,6.459,0.0,1585,2442.4849999999997
solution5,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution7,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution8,174,0,197,0,42,0,8.0,1.391,6.609,0.0,725,1008.475
solution9,143,0,174,0,36,0,8.0,1.289,6.711,0.0,2036,2624.404
solution10,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution17,150,0,177,0,37,0,8.0,1.293,6.707,0.0,2215,2863.995
solution21,154,0,178,0,41,0,8.0,1.79,6.21,0.0,1211,2167.69
solution22,173,0,198,0,44,0,8.0,1.49,6.51,0.0,1290,1922.1
solution23,173,0,202,0,43,0,8.0,1.492,6.508,0.0,2276,3395.792
solution24,198,0,201,0,43,0,8.0,1.68,6.32,0.0,849,1426.32
solution25,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution27,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution28,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution30,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution31,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution33,133,0,154,0,32,0,8.0,1.254,6.746,0.0,704,882.816
solution34,162,0,200,0,48,0,8.0,1.752,6.248,0.0,782,1370.064
solution38,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution39,181,0,227,0,46,0,8.0,2.031,5.969,0.0,1291,2622.021
solution40,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution44,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution46,186,0,239,0,45,0,8.0,1.771,6.229,0.0,1668,2954.028
solution48,198,0,208,0,51,0,8.0,2.601,5.399,0.0,1717,4465.917
solution49,161,0,187,0,39,0,8.0,1.78,6.22,0.0,1214,2160.92
solution50,159,0,204,0,40,0,8.0,1.666,6.334,0.0,1113,1854.2579999999998
solution51,169,0,189,0,34,0,8.0,1.679,6.321,0.0,1706,2864.3740000000003
solution53,194,0,241,0,47,0,8.0,1.451,6.549,0.0,1429,2073.4790000000003
solution54,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution57,154,0,163,0,36,0,8.0,1.787,6.213,0.0,1359,2428.533
solution60,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution61,182,0,199,0,37,0,8.0,1.361,6.639,0.0,2082,2833.602
solution62,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution63,124,0,171,0,28,0,8.0,1.4,6.6,0.0,859,1202.6
solution64,154,0,190,0,42,0,8.0,1.797,6.203,0.0,799,1435.8029999999999
solution65,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution66,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution67,174,0,234,0,52,0,8.0,2.057,5.943,0.0,2643,5436.651
solution69,185,0,220,0,51,0,8.0,1.625,6.375,0.0,1919,3118.375
solution70,175,0,203,0,41,0,8.0,1.587,6.413,0.0,688,1091.856
solution71,185,0,243,0,45,0,8.0,1.736,6.264,0.0,1577,2737.672
solution72,180,0,213,0,40,0,8.0,1.39,6.61,0.0,1727,2400.5299999999997
solution74,197,0,213,0,44,0,8.0,1.541,6.459,0.0,1662,2561.142
