solution,lut,bram,ff,dsp,clb,latch,target_clk,achieved_clk,wns,tns,cycles,estimated_time
solution1,65,0,83,0,18,0,8.0,1.282,6.718,0.0,23384,29978.288
solution3,45,0,101,0,19,0,8.0,1.219,6.781,0.0,9324,11365.956
solution4,40,0,97,0,11,0,8.0,1.434,6.566,0.0,9294,13327.596
solution5,158,0,182,0,40,0,8.0,1.691,6.309,0.0,51306,86758.446
solution8,151,0,190,0,34,0,8.0,1.352,6.648,0.0,24938,33716.176
solution9,56,0,118,0,15,0,8.0,1.961,6.039,0.0,9326,18288.286
solution10,79,0,92,0,21,0,8.0,1.297,6.703,0.0,12904,16736.487999999998
solution11,56,0,118,0,15,0,8.0,1.961,6.039,0.0,9326,18288.286
solution12,56,0,118,0,15,0,8.0,1.961,6.039,0.0,9326,18288.286
solution13,98,0,127,0,25,0,8.0,1.278,6.722,0.0,24161,30877.758
solution17,171,0,216,0,42,0,8.0,1.712,6.288,0.0,30438,52109.856
solution20,48,0,101,0,18,0,8.0,1.184,6.816,0.0,9324,11039.616
solution22,137,0,152,0,33,0,8.0,1.58,6.42,0.0,18667,29493.86
solution23,81,0,96,0,20,0,8.0,1.336,6.664,0.0,29295,39138.12
solution26,45,0,101,0,19,0,8.0,1.219,6.781,0.0,9324,11365.956
solution27,155,0,214,0,42,0,8.0,1.13,6.87,0.0,78384,88573.92
solution28,126,0,170,0,31,0,8.0,1.702,6.298,0.0,15275,25998.05
solution29,56,0,118,0,15,0,8.0,1.961,6.039,0.0,9326,18288.286
solution30,56,0,118,0,13,0,8.0,1.681,6.319,0.0,9326,15677.006000000001
solution31,117,0,169,0,32,0,8.0,1.647,6.353,0.0,22165,36505.755
solution32,109,0,157,0,35,0,8.0,1.201,6.799,0.0,80972,97247.372
solution33,146,0,163,0,32,0,8.0,1.438,6.562,0.0,23450,33721.1
solution36,48,0,101,0,18,0,8.0,1.184,6.816,0.0,9324,11039.616
solution38,56,0,118,0,15,0,8.0,1.961,6.039,0.0,9326,18288.286
solution40,76,0,108,0,22,0,8.0,1.351,6.649,0.0,21334,28822.234
solution42,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution43,76,0,95,0,20,0,8.0,1.339,6.661,0.0,24669,33031.791
solution44,48,0,101,0,18,0,8.0,1.184,6.816,0.0,9324,11039.616
solution45,67,0,82,0,17,0,8.0,1.21,6.79,0.0,16959,20520.39
solution46,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution47,48,0,101,0,18,0,8.0,1.184,6.816,0.0,9324,11039.616
solution50,155,0,257,0,41,0,8.0,1.506,6.494,0.0,61432,92516.592
solution52,157,0,170,0,34,0,8.0,1.635,6.365,0.0,22422,36659.97
solution56,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution57,146,0,156,0,35,0,8.0,1.425,6.575,0.0,16254,23161.95
solution59,48,0,101,0,18,0,8.0,1.184,6.816,0.0,9324,11039.616
solution60,129,0,161,0,32,0,8.0,1.211,6.789,0.0,20105,24347.155000000002
solution63,140,0,188,0,41,0,8.0,2.111,5.889,0.0,27048,57098.32800000001
solution66,77,0,96,0,18,0,8.0,1.259,6.741,0.0,28524,35911.716
solution67,40,0,97,0,11,0,8.0,1.434,6.566,0.0,9294,13327.596
solution68,196,0,261,0,50,0,8.0,1.907,6.093,0.0,24052,45867.164000000004
solution69,172,0,186,0,40,0,8.0,1.664,6.336,0.0,69196,115142.144
solution73,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution75,40,0,97,0,11,0,8.0,1.434,6.566,0.0,9294,13327.596
solution77,86,0,114,0,21,0,8.0,1.26,6.74,0.0,29558,37243.08
solution78,40,0,97,0,11,0,8.0,1.434,6.566,0.0,9294,13327.596
solution79,40,0,97,0,11,0,8.0,1.434,6.566,0.0,9294,13327.596
solution80,48,0,101,0,18,0,8.0,1.184,6.816,0.0,9324,11039.616
solution81,48,0,101,0,18,0,8.0,1.184,6.816,0.0,9324,11039.616
solution86,93,0,119,0,26,0,8.0,1.197,6.803,0.0,59627,71373.519
solution87,41,0,97,0,11,0,8.0,1.734,6.266,0.0,9294,16115.796
solution88,56,0,118,0,13,0,8.0,1.681,6.319,0.0,9326,15677.006000000001
solution89,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution90,41,0,97,0,11,0,8.0,1.734,6.266,0.0,9294,16115.796
solution91,48,0,101,0,18,0,8.0,1.184,6.816,0.0,9324,11039.616
solution92,142,0,176,0,34,0,8.0,1.389,6.611,0.0,28859,40085.151
solution96,105,0,156,0,26,0,8.0,1.864,6.136,0.0,10874,20269.136000000002
solution98,75,0,107,0,19,0,8.0,1.368,6.632,0.0,18250,24966.000000000004
solution99,84,0,122,0,22,0,8.0,1.28,6.72,0.0,28544,36536.32
solution101,40,0,97,0,11,0,8.0,1.434,6.566,0.0,9294,13327.596
solution102,56,0,118,0,15,0,8.0,1.961,6.039,0.0,9326,18288.286
solution103,48,0,101,0,18,0,8.0,1.184,6.816,0.0,9324,11039.616
solution106,48,0,101,0,18,0,8.0,1.184,6.816,0.0,9324,11039.616
solution108,45,0,101,0,19,0,8.0,1.219,6.781,0.0,9324,11365.956
solution109,56,0,118,0,15,0,8.0,1.961,6.039,0.0,9326,18288.286
solution111,45,0,101,0,19,0,8.0,1.219,6.781,0.0,9324,11365.956
solution115,169,0,172,0,37,0,8.0,1.786,6.214,0.0,42241,75442.426
solution117,185,0,187,0,40,0,8.0,1.545,6.455,0.0,24508,37864.86
solution120,40,0,97,0,11,0,8.0,1.434,6.566,0.0,9294,13327.596
solution121,131,0,177,0,35,0,8.0,1.496,6.504,0.0,21999,32910.504
solution123,56,0,118,0,15,0,8.0,1.961,6.039,0.0,9326,18288.286
solution125,125,0,170,0,32,0,8.0,1.232,6.768,0.0,35218,43388.576
solution126,117,0,163,0,32,0,8.0,1.78,6.22,0.0,31784,56575.520000000004
solution129,89,0,116,0,25,0,8.0,1.349,6.651,0.0,26474,35713.426
solution130,67,0,88,0,16,0,8.0,1.274,6.726,0.0,23641,30118.634000000002
solution131,48,0,101,0,18,0,8.0,1.184,6.816,0.0,9324,11039.616
solution133,113,0,192,0,32,0,8.0,2.067,5.933,0.0,19149,39580.983
solution140,77,0,113,0,20,0,8.0,1.304,6.696,0.0,35983,46921.832
solution141,56,0,118,0,13,0,8.0,1.681,6.319,0.0,9326,15677.006000000001
solution142,127,0,188,0,36,0,8.0,1.392,6.608,0.0,95864,133442.688
solution144,48,0,101,0,18,0,8.0,1.184,6.816,0.0,9324,11039.616
solution147,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution148,86,0,120,0,20,0,8.0,1.328,6.672,0.0,23904,31744.512000000002
solution151,71,0,90,0,19,0,8.0,1.25,6.75,0.0,17216,21520.0
solution152,170,0,214,0,44,0,8.0,1.78,6.22,0.0,46711,83145.58
solution154,94,0,123,0,23,0,8.0,1.293,6.707,0.0,24675,31904.774999999998
solution157,48,0,101,0,18,0,8.0,1.184,6.816,0.0,9324,11039.616
solution158,138,0,182,0,34,0,8.0,1.165,6.835,0.0,38045,44322.425
solution159,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0
solution160,81,0,110,0,19,0,8.0,1.214,6.786,0.0,26731,32451.433999999997
solution161,143,0,163,0,37,0,8.0,1.606,6.394,0.0,37357,59995.342000000004
solution162,97,0,121,0,25,0,8.0,1.229,6.771,0.0,33670,41380.43
solution165,148,0,177,0,37,0,8.0,1.422,6.578,0.0,23716,33724.152
