opcode,signed,bitwidth,lut,dsp,ff,latency
11,0,6,7,0,0,0
11,0,6,7,0,0,0
13,0,6,4,0,0,0
11,0,6,7,0,0,0
11,0,6,7,0,0,0
13,0,6,4,0,0,0
15,0,64,49,4,165,1
15,0,64,49,4,165,1
15,0,64,49,4,165,1
15,0,64,49,4,165,1
11,0,63,64,0,0,0
11,0,63,64,0,0,0
11,1,11,12,0,0,0
11,0,11,12,0,0,0
11,0,12,13,0,0,0
11,0,63,64,0,0,0
13,0,12,1,0,0,0
11,0,63,64,0,0,0
11,0,63,64,0,0,0
11,0,63,64,0,0,0
11,0,63,64,0,0,0
11,0,32,33,0,0,0
11,0,63,64,0,0,0
11,0,63,64,0,0,0
11,0,63,64,0,0,0
11,0,63,64,0,0,0
11,0,6,7,0,0,0
11,0,6,7,0,0,0
13,0,6,4,0,0,0
11,0,6,7,0,0,0
11,0,6,7,0,0,0
13,0,6,4,0,0,0
15,0,64,49,4,165,1
15,0,64,49,4,165,1
13,0,63,1,0,0,0
13,0,63,64,0,0,0
15,0,64,49,4,165,1
15,0,64,49,4,165,1
11,0,63,64,0,0,0
11,0,63,64,0,0,0
13,0,63,1,0,0,0
13,0,63,64,0,0,0
11,0,1,2,0,0,0
11,0,63,64,0,0,0
13,0,12,1,0,0,0
11,0,63,64,0,0,0
11,0,63,64,0,0,0
13,0,11,12,0,0,0
11,0,61,62,0,0,0
11,0,63,64,0,0,0
11,0,11,12,0,0,0
13,0,11,1,0,0,0
11,0,10,11,0,0,0
13,0,5,1,0,0,0
11,0,63,64,0,0,0
11,0,11,12,0,0,0
11,0,63,64,0,0,0
13,0,11,1,0,0,0
11,0,63,64,0,0,0
11,0,63,64,0,0,0
13,0,11,12,0,0,0
11,0,11,12,0,0,0
13,0,11,1,0,0,0
13,0,63,64,0,0,0
11,0,10,11,0,0,0
13,0,5,1,0,0,0
13,0,63,64,0,0,0
11,0,11,12,0,0,0
13,0,11,12,0,0,0
11,0,63,64,0,0,0
13,0,11,1,0,0,0
11,0,63,64,0,0,0
11,0,63,64,0,0,0
15,1,31,47,3,161,1
11,0,5,6,0,0,0
11,0,5,6,0,0,0
13,0,10,11,0,0,0
11,0,63,64,0,0,0
11,0,63,64,0,0,0
26,0,0,1,0,0,0
27,1,30,31,0,0,0
27,0,31,32,0,0,0
23,0,63,64,0,0,0
28,0,63,64,0,0,0
28,0,0,1,0,0,0
28,0,1,1,0,0,0
11,0,63,64,0,0,0
11,0,63,64,0,0,0
11,0,12,13,0,0,0
13,0,63,64,0,0,0
13,0,12,13,0,0,0
13,0,63,64,0,0,0
26,0,0,1,0,0,0
26,0,0,1,0,0,0
26,0,0,1,0,0,0
26,0,0,1,0,0,0
26,0,0,1,0,0,0
26,0,0,1,0,0,0
26,0,0,1,0,0,0
26,0,53,54,0,0,0
24,0,63,64,0,0,0
27,0,63,64,0,0,0
27,0,63,64,0,0,0
27,0,63,52,0,0,0
27,0,63,64,0,0,0
27,0,0,1,0,0,0
27,0,0,1,0,0,0
27,0,0,1,0,0,0
27,0,63,64,0,0,0
27,0,63,64,0,0,0
27,0,63,64,0,0,0
27,0,0,1,0,0,0
27,0,0,1,0,0,0
27,0,10,11,0,0,0
27,0,0,1,0,0,0
27,0,31,32,0,0,0
27,0,31,32,0,0,0
27,0,31,32,0,0,0
27,0,31,32,0,0,0
27,0,0,1,0,0,0
27,0,63,64,0,0,0
23,0,63,64,0,0,0
23,0,63,64,0,0,0
23,0,63,64,0,0,0
28,0,0,1,0,0,0
28,0,1,2,0,0,0
28,0,0,1,0,0,0
28,0,0,1,0,0,0
11,0,6,7,0,0,0
11,1,6,7,0,0,0
26,0,0,1,0,0,0
26,0,0,1,0,0,0
26,0,0,1,0,0,0
26,0,0,1,0,0,0
26,0,0,1,0,0,0
26,0,0,1,0,0,0
26,0,0,1,0,0,0
26,0,53,54,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
24,0,63,64,0,0,0
