opcode,signed,bitwidth,lut,dsp,ff,latency
11,0,1,2,0,0,0
11,0,11,12,0,0,0
13,0,63,64,0,0,0
11,0,62,63,0,0,0
11,0,52,53,0,0,0
11,0,53,54,0,0,0
11,0,38,39,0,0,0
11,0,6,7,0,0,0
13,0,63,64,0,0,0
11,0,62,63,0,0,0
11,0,52,53,0,0,0
11,0,53,54,0,0,0
11,0,38,39,0,0,0
11,0,6,7,0,0,0
13,0,63,64,0,0,0
11,0,62,63,0,0,0
11,0,52,53,0,0,0
11,0,53,54,0,0,0
11,0,38,39,0,0,0
11,0,6,7,0,0,0
13,0,63,64,0,0,0
11,0,62,63,0,0,0
11,0,52,53,0,0,0
11,0,53,54,0,0,0
11,0,38,39,0,0,0
11,0,6,7,0,0,0
11,0,7,8,0,0,0
11,0,7,8,0,0,0
11,0,8,9,0,0,0
11,0,3,4,0,0,0
11,0,1,2,0,0,0
11,0,31,32,0,0,0
11,0,3,4,0,0,0
11,0,8,9,0,0,0
26,0,1,1,0,0,0
11,0,59,60,0,0,0
11,0,59,60,0,0,0
11,0,59,60,0,0,0
11,0,59,60,0,0,0
11,0,59,60,0,0,0
11,0,59,60,0,0,0
11,0,59,60,0,0,0
11,0,59,60,0,0,0
27,0,13,14,0,0,0
27,0,10,11,0,0,0
27,0,13,14,0,0,0
27,0,10,11,0,0,0
27,0,13,14,0,0,0
27,0,10,11,0,0,0
27,0,0,1,0,0,0
27,0,0,1,0,0,0
28,0,1,1,0,0,0
28,0,63,64,0,0,0
28,0,63,64,0,0,0
28,0,63,64,0,0,0
28,0,63,64,0,0,0
27,0,1,1,0,0,0
