opcode,signed,bitwidth,lut,dsp,ff,latency
11,0,16,17,0,0,0
11,0,7,8,0,0,0
15,0,24,42,1,0,0
11,0,16,17,0,0,0
15,0,32,37,2,0,0
11,0,16,17,0,0,0
11,0,8,9,0,0,0
11,0,63,64,0,0,0
11,0,30,31,0,0,0
11,0,7,8,0,0,0
11,0,31,32,0,0,0
11,0,32,0,1,0,3
11,0,31,32,0,0,0
11,0,31,32,0,0,0
11,0,16,17,0,0,0
11,0,4,5,0,0,0
13,0,29,30,0,0,0
11,0,7,8,0,0,0
11,0,16,17,0,0,0
11,0,7,8,0,0,0
11,0,16,17,0,0,0
11,0,7,8,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,7,8,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,7,8,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,7,8,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,7,8,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
15,1,32,49,2,165,1
13,0,31,32,0,0,0
13,0,31,32,0,0,0
11,0,31,32,0,0,0
15,0,32,49,2,165,1
15,1,32,49,2,165,1
15,0,32,49,2,165,1
11,0,63,64,0,0,0
11,0,32,33,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
13,0,31,32,0,0,0
11,0,7,8,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
13,0,31,32,0,0,0
11,0,41,42,0,0,0
13,0,63,64,0,0,0
11,0,4,5,0,0,0
11,0,7,8,0,0,0
11,0,31,32,0,0,0
13,0,5,1,0,0,0
15,1,64,49,4,165,1
11,0,31,32,0,0,0
11,0,31,32,0,0,0
11,0,30,31,0,0,0
11,0,30,31,0,0,0
11,0,11,12,0,0,0
13,0,10,10,0,0,0
13,0,31,1,0,0,0
11,0,11,12,0,0,0
13,0,10,10,0,0,0
13,0,31,1,0,0,0
11,0,31,32,0,0,0
19,0,32,0,0,0,9
19,0,32,0,0,0,9
16,0,32,78,3,143,3
11,0,64,701,0,457,0
11,0,11,12,0,0,0
13,0,7,7,0,0,0
13,0,31,1,0,0,0
11,0,8,9,0,0,0
13,0,7,7,0,0,0
13,0,31,1,0,0,0
13,0,26,1,0,0,0
11,0,27,28,0,0,0
13,0,23,1,0,0,0
11,0,23,24,0,0,0
13,0,31,1,0,0,0
11,1,31,32,0,0,0
11,0,31,32,0,0,0
11,1,31,32,0,0,0
11,0,31,32,0,0,0
13,0,31,32,0,0,0
13,0,31,32,0,0,0
13,1,31,32,0,0,0
13,0,31,32,0,0,0
26,0,0,1,0,0,0
26,0,0,1,0,0,0
26,0,1,1,0,0,0
27,0,3,4,0,0,0
27,0,4,5,0,0,0
27,0,3,4,0,0,0
28,0,1,1,0,0,0
26,0,0,1,0,0,0
26,0,0,1,0,0,0
24,0,136,137,0,0,0
24,0,136,137,0,0,0
27,0,0,1,0,0,0
27,0,0,1,0,0,0
23,0,136,137,0,0,0
23,0,136,137,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,8,9,0,0,0
13,0,10,10,0,0,0
26,0,0,1,0,0,0
26,0,0,1,0,0,0
26,0,0,1,0,0,0
26,0,0,1,0,0,0
24,0,78,79,0,0,0
24,0,78,79,0,0,0
24,0,136,137,0,0,0
27,0,0,1,0,0,0
27,0,0,1,0,0,0
27,0,0,1,0,0,0
23,0,78,79,0,0,0
23,0,78,79,0,0,0
23,0,136,137,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
27,0,0,1,0,0,0
28,0,0,1,0,0,0
28,0,0,1,0,0,0
27,0,31,1,0,0,0
27,0,31,32,0,0,0
27,0,29,30,0,0,0
28,0,0,1,0,0,0
11,0,31,32,0,0,0
11,0,31,32,0,0,0
13,0,31,32,0,0,0
13,0,31,32,0,0,0
26,0,0,1,0,0,0
26,0,0,1,0,0,0
27,0,0,1,0,0,0
27,0,0,1,0,0,0
