opcode,signed,bitwidth,lut,dsp,ff,latency
11,0,30,31,0,0,0
11,0,7,8,0,0,0
11,0,7,8,0,0,0
13,1,8,9,0,0,0
15,1,18,50,0,0,0
13,1,8,9,0,0,0
13,1,18,0,1,0,3
13,1,8,9,0,0,0
15,1,18,50,0,0,0
13,1,8,9,0,0,0
13,1,18,0,1,0,3
13,1,8,9,0,0,0
15,0,18,50,0,0,0
13,1,8,9,0,0,0
13,1,18,0,1,0,3
11,0,31,32,0,0,0
11,0,16,17,0,0,0
11,0,8,9,0,0,0
11,0,15,16,0,0,0
11,0,8,9,0,0,0
11,0,30,31,0,0,0
11,0,31,32,0,0,0
11,0,16,17,0,0,0
11,0,8,9,0,0,0
11,0,15,16,0,0,0
11,0,8,9,0,0,0
11,0,30,31,0,0,0
15,0,17,62,0,0,0
15,0,17,62,0,0,0
15,0,17,62,0,0,0
13,1,8,9,0,0,0
13,1,8,9,0,0,0
15,0,18,50,0,0,0
13,1,8,9,0,0,0
13,1,8,9,0,0,0
15,0,18,50,0,0,0
13,0,17,18,0,0,0
13,0,8,9,0,0,0
13,0,8,9,0,0,0
13,0,8,9,0,0,0
13,0,8,9,0,0,0
13,1,8,9,0,0,0
13,1,8,9,0,0,0
15,0,18,50,0,0,0
11,0,30,31,0,0,0
28,0,1,1,0,0,0
27,0,17,18,0,0,0
27,0,17,18,0,0,0
11,0,7,8,0,0,0
11,0,7,8,0,0,0
26,0,0,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
28,0,0,1,0,0,0
