variable,operation,signed,bitwidth,lut,dsp,latency,ff
add_ln361_1_fu_170_p2,add,0,16,17,0,0,0
add_ln361_fu_182_p2,add,0,7,8,0,0,0
mul_8ns_24s_24_1_1_U2,mul,0,24,42,1,0,0
add_ln368_1_fu_344_p2,add,0,16,17,0,0,0
mul_9ns_28s_32_1_1_U1,mul,0,32,37,2,0,0
add_ln368_3_fu_367_p2,add,0,16,17,0,0,0
add_ln364_fu_219_p2,add,0,8,9,0,0,0
add_ln306_1_fu_228_p2,add,0,63,64,0,0,0
add_ln306_fu_237_p2,add,0,30,31,0,0,0
empty_fu_314_p2,add,0,7,8,0,0,0
t_fu_386_p2,add,0,31,32,0,0,0
mac_muladd_8ns_8ns_32ns_32_4_1_U11,add,0,32,0,1,3,0
t_1_fu_411_p2,add,0,31,32,0,0,0
tq_1_fu_474_p2,add,0,31,32,0,0,0
add_ln311_fu_363_p2,add,0,16,17,0,0,0
i_2_fu_110_p2,add,0,4,5,0,0,0
c_2_fu_209_p2,sub,0,29,30,0,0,0
j_2_fu_1255_p2,add,0,7,8,0,0,0
tr0_fu_639_p2,add,0,16,17,0,0,0
tr0_2_fu_648_p2,add,0,7,8,0,0,0
tr1_fu_661_p2,add,0,16,17,0,0,0
tr1_2_fu_670_p2,add,0,7,8,0,0,0
add_ln223_fu_838_p2,add,0,16,17,0,0,0
add_ln223_1_fu_844_p2,add,0,16,17,0,0,0
add_ln224_fu_854_p2,add,0,16,17,0,0,0
add_ln224_1_fu_859_p2,add,0,16,17,0,0,0
add_ln225_fu_691_p2,add,0,7,8,0,0,0
add_ln225_1_fu_892_p2,add,0,16,17,0,0,0
add_ln225_2_fu_898_p2,add,0,16,17,0,0,0
add_ln226_fu_908_p2,add,0,16,17,0,0,0
add_ln228_fu_941_p2,add,0,16,17,0,0,0
add_ln228_1_fu_947_p2,add,0,16,17,0,0,0
add_ln229_fu_957_p2,add,0,16,17,0,0,0
add_ln229_1_fu_962_p2,add,0,16,17,0,0,0
add_ln230_fu_697_p2,add,0,7,8,0,0,0
add_ln230_1_fu_995_p2,add,0,16,17,0,0,0
add_ln230_2_fu_1001_p2,add,0,16,17,0,0,0
add_ln231_fu_1011_p2,add,0,16,17,0,0,0
add_ln235_fu_791_p2,add,0,7,8,0,0,0
add_ln235_2_fu_1044_p2,add,0,16,17,0,0,0
add_ln235_1_fu_796_p2,add,0,16,17,0,0,0
add_ln235_3_fu_1050_p2,add,0,16,17,0,0,0
add_ln236_fu_1060_p2,add,0,16,17,0,0,0
add_ln236_1_fu_1065_p2,add,0,16,17,0,0,0
add_ln237_fu_801_p2,add,0,7,8,0,0,0
add_ln237_1_fu_1098_p2,add,0,16,17,0,0,0
add_ln237_2_fu_1104_p2,add,0,16,17,0,0,0
add_ln238_fu_1114_p2,add,0,16,17,0,0,0
mul_13s_32s_32_2_1_U20,mul,1,32,49,2,1,165
sub_ln279_fu_1170_p2,sub,0,31,32,0,0,0
sub_ln280_fu_1182_p2,sub,0,31,32,0,0,0
add_ln281_fu_1218_p2,add,0,31,32,0,0,0
mul_14ns_32s_32_2_1_U22,mul,0,32,49,2,1,165
mul_13s_32s_32_2_1_U21,mul,1,32,49,2,1,165
mul_14ns_32s_32_2_1_U23,mul,0,32,49,2,1,165
stage_sum_3_fu_1305_p2,add,0,63,64,0,0,0
add_ln251_fu_624_p2,add,0,32,33,0,0,0
add_ln180_fu_389_p2,add,0,16,17,0,0,0
add_ln180_1_fu_395_p2,add,0,16,17,0,0,0
add_ln176_fu_407_p2,add,0,16,17,0,0,0
add_ln181_fu_413_p2,add,0,16,17,0,0,0
sub_ln176_fu_431_p2,sub,0,31,32,0,0,0
add_ln177_fu_425_p2,add,0,7,8,0,0,0
add_ln182_fu_459_p2,add,0,16,17,0,0,0
add_ln182_1_fu_465_p2,add,0,16,17,0,0,0
add_ln183_fu_476_p2,add,0,16,17,0,0,0
sub_ln181_fu_487_p2,sub,0,31,32,0,0,0
stddev_1_fu_542_p2,add,0,41,42,0,0,0
stddev_2_fu_551_p2,sub,0,63,64,0,0,0
add_ln199_fu_595_p2,add,0,4,5,0,0,0
add_ln200_fu_629_p2,add,0,7,8,0,0,0
haar_counter_2_fu_636_p2,add,0,31,32,0,0,0
dmul_64ns_64ns_64_6_max_dsp_1_U52,dmul,0,64,121,8,5,373
sub_ln257_fu_752_p2,sub,0,5,1,0,0,0
mul_32s_32s_64_2_1_U70,mul,1,64,49,4,1,165
add_ln132_fu_385_p2,add,0,31,32,0,0,0
add_ln132_1_fu_390_p2,add,0,31,32,0,0,0
y_fu_408_p2,add,0,30,31,0,0,0
x_fu_487_p2,add,0,30,31,0,0,0
add_ln486_fu_719_p2,add,0,11,12,0,0,0
sub_ln18_fu_733_p2,sub,0,10,10,0,0,0
result_2_fu_799_p2,sub,0,31,1,0,0,0
add_ln486_1_fu_537_p2,add,0,11,12,0,0,0
sub_ln18_1_fu_551_p2,sub,0,10,10,0,0,0
result_5_fu_617_p2,sub,0,31,1,0,0,0
add_ln145_fu_819_p2,add,0,31,32,0,0,0
fdiv_32ns_32ns_32_10_no_dsp_1_U86,fdiv,0,32,0,0,9,0
fdiv_32ns_32ns_32_10_no_dsp_1_U87,fdiv,0,32,0,0,9,0
fmul_32ns_32ns_32_4_max_dsp_1_U85,fmul,0,32,78,3,3,143
dadd_64ns_64ns_64_5_full_dsp_1_U91,add,0,64,701,0,0,457
add_ln486_fu_721_p2,add,0,11,12,0,0,0
sub_ln18_2_fu_455_p2,sub,0,7,7,0,0,0
result_12_fu_773_p2,sub,0,31,1,0,0,0
add_ln317_1_fu_545_p2,add,0,8,9,0,0,0
sub_ln18_3_fu_559_p2,sub,0,7,7,0,0,0
result_15_fu_785_p2,sub,0,31,1,0,0,0
sub_ln357_fu_800_p2,sub,0,26,1,0,0,0
x_ratio_fu_817_p2,add,0,27,28,0,0,0
sub_ln358_fu_827_p2,sub,0,23,1,0,0,0
y_ratio_fu_840_p2,add,0,23,24,0,0,0
result_fu_883_p2,sub,0,31,1,0,0,0
add_ln282_1_fu_1200_p2,add,1,31,32,0,0,0
add_ln282_2_fu_1267_p2,add,0,31,32,0,0,0
add_ln282_fu_1194_p2,add,1,31,32,0,0,0
final_sum_fu_1271_p2,add,0,31,32,0,0,0
sub_ln279_1_fu_1176_p2,sub,0,31,32,0,0,0
sub_ln280_1_fu_1188_p2,sub,0,31,32,0,0,0
sub_ln281_1_fu_1230_p2,sub,1,31,32,0,0,0
sub_ln281_fu_1224_p2,sub,0,31,32,0,0,0
and_ln233_1_fu_785_p2,and,0,0,1,0,0,0
and_ln233_fu_779_p2,and,0,0,1,0,0,0
ap_condition_1051,and,0,1,1,0,0,0
icmp_ln200_fu_599_p2,icmp,0,0,8,0,0,0
icmp_ln201_fu_1261_p2,icmp,0,0,8,0,0,0
icmp_ln233_1_fu_767_p2,icmp,0,0,4,0,0,0
icmp_ln233_2_fu_773_p2,icmp,0,0,5,0,0,0
icmp_ln233_fu_761_p2,icmp,0,0,4,0,0,0
icmp_ln284_fu_1276_p2,icmp,0,0,32,0,0,0
or_ln233_1_fu_733_p2,or,0,3,4,0,0,0
or_ln233_2_fu_755_p2,or,0,4,5,0,0,0
or_ln233_fu_707_p2,or,0,3,4,0,0,0
return_value_3_fu_1296_p3,select,0,13,1,0,0,0
stage_sum_2_fu_1289_p3,select,0,63,1,0,0,0
ap_enable_pp0,xor,0,1,1,0,0,0
and_ln61_fu_662_p2,and,0,0,1,0,0,0
empty_23_fu_452_p2,and,0,0,1,0,0,0
icmp_ln132_fu_403_p2,icmp,0,0,32,0,0,0
icmp_ln133_fu_482_p2,icmp,0,0,32,0,0,0
icmp_ln139_fu_501_p2,icmp,0,0,6,0,0,0
icmp_ln61_1_fu_652_p2,icmp,0,0,23,0,0,0
icmp_ln61_fu_646_p2,icmp,0,0,8,0,0,0
notlhs_fu_436_p2,icmp,0,0,8,0,0,0
notrhs_fu_442_p2,icmp,0,0,23,0,0,0
lshr_ln18_1_fu_577_p2,lshr,0,136,137,0,0,0
lshr_ln18_fu_759_p2,lshr,0,136,137,0,0,0
empty_22_fu_448_p2,or,0,0,1,0,0,0
or_ln61_fu_658_p2,or,0,0,1,0,0,0
cond_i15_fu_457_p3,select,0,63,1,0,0,0
result_8_fu_622_p3,select,0,31,1,0,0,0
result_x_d0,select,0,31,1,0,0,0
select_ln18_2_fu_561_p3,select,0,11,1,0,0,0
select_ln18_fu_743_p3,select,0,11,1,0,0,0
select_ln61_fu_667_p3,select,0,63,1,0,0,0
val_1_fu_609_p3,select,0,31,1,0,0,0
val_fu_791_p3,select,0,31,1,0,0,0
shl_ln18_1_fu_583_p2,shl,0,136,137,0,0,0
shl_ln18_fu_765_p2,shl,0,136,137,0,0,0
add_ln313_1_fu_293_p2,add,0,16,17,0,0,0
add_ln313_fu_283_p2,add,0,16,17,0,0,0
add_ln322_1_fu_349_p2,add,0,16,17,0,0,0
add_ln322_fu_343_p2,add,0,16,17,0,0,0
addr_cmp16_fu_398_p2,icmp,0,0,64,0,0,0
addr_cmp_fu_420_p2,icmp,0,0,64,0,0,0
cmp9_i_fu_448_p2,icmp,0,0,31,0,0,0
icmp_ln306_fu_223_p2,icmp,0,0,64,0,0,0
icmp_ln311_fu_218_p2,icmp,0,0,32,0,0,0
SUM1_data_d0,select,0,31,1,0,0,0
grp_fu_494_p2,select,0,31,1,0,0,0
reuse_select17_fu_403_p3,select,0,31,1,0,0,0
reuse_select_fu_468_p3,select,0,31,1,0,0,0
select_ln306_2_fu_376_p3,select,0,31,1,0,0,0
select_ln306_3_fu_251_p3,select,0,30,1,0,0,0
select_ln306_fu_243_p3,select,0,16,1,0,0,0
tq_2_fu_479_p3,select,0,31,1,0,0,0
add_ln317_fu_441_p2,add,0,8,9,0,0,0
sub_ln18_fu_735_p2,sub,0,10,10,0,0,0
and_ln61_fu_672_p2,and,0,0,1,0,0,0
and_ln92_1_fu_362_p2,and,0,0,1,0,0,0
and_ln92_2_fu_403_p2,and,0,0,1,0,0,0
and_ln92_fu_409_p2,and,0,0,1,0,0,0
icmp_ln61_2_fu_662_p2,icmp,0,0,23,0,0,0
icmp_ln61_fu_656_p2,icmp,0,0,8,0,0,0
icmp_ln92_1_fu_350_p2,icmp,0,0,23,0,0,0
icmp_ln92_2_fu_385_p2,icmp,0,0,8,0,0,0
icmp_ln92_3_fu_391_p2,icmp,0,0,23,0,0,0
icmp_ln92_fu_344_p2,icmp,0,0,8,0,0,0
lshr_ln18_2_fu_481_p2,lshr,0,78,79,0,0,0
